[2024-09-19 08:03:12] | Access Granted | ID: 198473 | Name: John Doe | Entry Point: Main Lobby | Floor: 5 | IP: 10.0.0.10
[2024-09-19 08:12:45] | Access Denied | ID: 348912 | Name: Sarah Walker | Entry Point: Basement | Floor: 3 | IP: 10.0.0.11
[2024-09-19 08:30:18] | Access Granted | ID: 837492 | Name: Emily Green | Entry Point: Main Lobby | Floor: 9 | IP: 10.0.0.12
[2024-09-19 09:15:32] | Access Granted | ID: 198473 | Name: John Doe | Entry Point: Office Door | Floor: 5 | IP: 10.0.0.13
[2024-09-19 09:20:44] | Access Granted | ID: 489013 | Name: Mark Stevenson | Entry Point: Main Lobby | Floor: 7 | IP: 10.0.0.14
[2024-09-19 09:45:12] | Access Denied | ID: 093218 | Name: Rachel Adams | Entry Point: Service Elevator | Floor: 2 | IP: 10.0.0.15
[2024-09-19 10:03:17] | Access Granted | ID: 239832 | Name: James Lee | Entry Point: Main Lobby | Floor: 12 | IP: 10.0.0.16
[2024-09-19 10:25:52] | Access Granted | ID: 857392 | Name: Linda Parker | Entry Point: Parking Garage | Floor: B2 | IP: 10.0.0.17
[2024-09-19 10:43:01] | Access Granted | ID: 293018 | Name: Robert White | Entry Point: Office Door | Floor: 7 | IP: 10.0.0.18
[2024-09-19 11:05:33] | Access Denied | ID: 928341 | Name: Susan Gold | Entry Point: Emergency Exit | Floor: 3 | IP: 10.0.0.19
[2024-09-19 11:10:22] | Access Granted | ID: 475829 | Name: Kevin Hall | Entry Point: Service Elevator | Floor: 10 | IP: 10.0.0.20
[2024-09-19 11:34:16] | Access Granted | ID: 293018 | Name: Robert White | Entry Point: Break Room | Floor: 7 | IP: 10.0.0.21
[2024-09-19 12:02:09] | Access Granted | ID: 489013 | Name: Mark Stevenson | Entry Point: Office Door | Floor: 7 | IP: 10.0.0.22
[2024-09-19 12:15:37] | Access Granted | ID: 837492 | Name: Emily Green | Entry Point: Main Lobby | Floor: 9 | IP: 10.0.0.23
[2024-09-19 12:29:11] | Access Denied | ID: 129837 | Name: Ben Carter | Entry Point: Server Room | Floor: B1 | IP: 10.0.0.9
[2024-09-19 12:45:56] | Access Granted | ID: 837492 | Name: Emily Green | Entry Point: Cafeteria | Floor: 9 | IP: 10.0.0.24
[2024-09-19 12:53:41] | Access Granted | ID: 392834 | Name: Diane Price | Entry Point: Main Lobby | Floor: 4 | IP: 10.0.0.25
[2024-09-19 13:03:21] | Access Granted | ID: 589213 | Name: Ethan Powell | Entry Point: Main Lobby | Floor: 11 | IP: 10.0.0.26
[2024-09-19 13:18:44] | Access Denied | ID: 489013 | Name: Mark Stevenson | Entry Point: Service Elevator | Floor: 2 | IP: 10.0.0.27
[2024-09-19 13:32:10] | Access Granted | ID: 298374 | Name: Amy Brown | Entry Point: Parking Garage | Floor: B1 | IP: 10.0.0.28
[2024-09-19 13:49:58] | Access Denied | ID: 928341 | Name: Susan Gold | Entry Point: Main Lobby | Floor: 3 | IP: 10.0.0.29
[2024-09-19 14:05:32] | Access Granted | ID: 857392 | Name: Linda Parker | Entry Point: Office Door | Floor: 10 | IP: 10.0.0.30
[2024-09-19 14:20:17] | Access Denied | ID: 093218 | Name: Rachel Adams | Entry Point: Emergency Exit | Floor: 2 | IP: 10.0.0.31
